,Median Age by Sex,Total Population,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Poverty Rate (%),Degree Percentage (%),POC Population (%),White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%)
2737,43.1,9337,4573,4764,4915,3607,452,622,79,1703,403,526,1181,403,1400,356,100,20,87899,667,2.5,2.8,9.7,8.8,7.9,16.3,6.3,28.0,9.5,8.2,7.143622148441684,20.09210667237871,18.367784084823818,81.63221591517618,1.9492342294098748,0.535503909,0.0,0.2998821891399807,4.77669487,10.806468887222875,11.513334047338546
2738,28.6,65716,32196,33520,33886,19826,3505,3406,702,8300,1407,2208,4025,1628,3343,1046,126,132,35979,21796,12.1,11.9,14.7,10.2,16.6,11.7,8.5,8.9,2.8,2.5,33.16696086189056,7.071337269462536,42.466066102623415,57.533933897376585,0.1217359547142248,0.0517377807535455,0.0,0.068476475,7.369590358512387,34.854525534116505,15.38894637531195
2739,40.9,9260,4997,4263,4682,2792,729,958,181,1488,712,627,891,401,884,261,7,17,44712,1467,7.0,8.8,12.2,12.3,13.6,13.6,12.1,12.9,4.3,3.3,15.842332613390928,12.624190064794815,17.32181425485961,82.67818574514038,2.850971922,1.0043196544276458,0.0,0.7775377969762419,3.822894168466523,8.866090713,17.17062634989201
2740,32.1,1392,737,655,552,404,59,48,8,341,4,17,159,26,120,36,29,7,63558,24,2.6,0.8,0.0,4.8,8.7,40.6,5.1,15.8,9.9,11.7,1.7241379310344829,13.79310344827586,24.64080459770115,75.35919540229885,0.1436781609195402,0.2155172413793103,0.0,0.1436781609195402,12.140804597701148,11.99712643678161,7.830459770114942
2741,33.5,1331,681,650,711,408,91,82,30,324,15,56,99,12,57,59,0,0,66591,91,6.7,1.6,10.4,14.4,9.3,11.3,18.4,20.2,4.7,2.9,6.836964688204357,8.715251690458302,11.720510894064612,88.27948910593538,0.4507888805409466,0.0,0.0,2.479338842975207,5.559729526671676,3.230653643876785,14.049586776859504
2742,31.3,3345,1651,1694,1510,828,100,306,11,659,75,98,371,74,157,142,4,0,56778,551,8.6,1.7,6.8,12.6,14.6,18.5,12.1,16.7,7.2,1.1,16.47234678624813,9.05829596412556,52.22720478,47.53363228699551,0.1494768310911808,0.0,0.2391629297458894,0.837070254,46.57698056801196,4.663677130044843,6.367713004484305
2743,35.9,6989,3848,3141,3640,1979,483,727,43,1267,283,190,533,381,712,139,23,0,40290,1879,9.5,11.6,11.2,14.4,15.3,12.4,7.9,13.3,2.0,2.3,26.88510516525969,12.505365574474173,26.098154242380883,73.61568178566318,8.127056803548435,1.116039491,0.2861639719559307,0.2289311775647446,3.720131635,12.905995135212478,14.66590356274145
2744,34.9,2113854,1041366,1072488,1150690,696033,78138,177028,26873,272245,53156,87223,205583,107369,305663,120073,22291,14908,78872,229643,3.8,2.8,5.7,7.3,10.9,17.1,13.5,18.4,9.1,11.3,10.863711495685132,21.900046076975983,44.04698716183805,55.75001868624796,17.263443927537097,5.8070708762289165,0.2029941519139921,0.5397250708894749,8.498789414973787,11.93795787220877,9.763067837230007
2745,32.9,143029,70009,73020,79131,46506,6043,12116,920,20515,5239,5920,13931,7850,16025,6685,1427,857,61806,19947,5.1,4.5,8.5,8.9,12.4,18.8,14.0,16.1,6.7,5.1,13.946122814254451,17.47477784225577,28.356487145963406,71.62533472232904,8.030539261268693,2.358962168511281,0.0181781317075558,0.1978619720476267,6.455334233,11.313789511218005,14.001356368288947
2746,57.7,862,501,361,423,279,151,43,11,231,53,29,127,21,143,69,0,0,52813,55,7.6,5.0,2.1,7.6,25.2,20.2,9.6,18.8,1.6,2.3,6.380510440835267,24.593967517401392,19.95359628770301,80.04640371229699,0.0,0.0,0.0,0.0,4.524361948955916,15.42923434,26.68213457076566
